id,lng,lat,depth,order
0,-87.8638251,41.9884844,1,0
1,-87.8491983,41.983951,2,2935
2,-87.8178229,41.9834316,1,6783
3,-87.6609207,41.9009018,1,5847
4,-87.6571137,41.8950178,1,5848
5,-87.6559762,41.8943014,2,13669
6,-87.6460582,41.884233,1,5849
7,-87.644383,41.8577727,1,5850
8,-87.6683828,41.8375443,1,5851
9,-87.7495577,41.8152191,1,1
10,-87.6226635,41.8478853,1,5852
11,-87.6275907,41.8469622,2,12233
12,-87.636332,41.8472219,1,6784
13,-87.6645459,41.8389233,7,28729
14,-87.6176192,41.8603344,3,18499
15,-87.6172207,41.880924,1,8788
16,-87.6305341,41.924159,2,13670
17,-87.6336208,41.9257453,1,10413
18,-87.6371345,41.9311325,5,25129
19,-87.6386812,41.9322935,3,22511
20,-87.6391109,41.9256191,4,25719
21,-87.6423145,41.928689,8,28430
22,-87.6392722,41.9296848,7,26807
23,-87.6306697,41.9262229,1,2936
24,-87.6810861,41.8758136,2,12234
25,-87.7066608,41.8745178,13,30711
26,-87.7414758,41.7913331,4,24130
27,-87.7432646,41.8076255,1,10414
28,-87.7418563,41.793086,8,28730
29,-87.7931539,41.9823322,1,5853
30,-87.7701986,41.9745034,1,6785
31,-87.7535123,41.9664272,1,5854
32,-87.7457421,41.9624137,37,32041
33,-87.7421814,41.959961,2,19761
34,-87.7373082,41.9571364,1,6786
35,-87.7238663,41.9496325,1,8504
36,-87.7219806,41.9485817,3,23530
37,-87.716836,41.9432283,1,10415
38,-87.7156292,41.9421347,2,20306
39,-87.7092513,41.9397862,1,12235
40,-87.7033381,41.9363501,1,13671
41,-87.6997239,41.9342299,2,17724
42,-87.6940861,41.9308994,3,20805
43,-87.6915853,41.9296451,2,18500
44,-87.6872907,41.9273577,7,29693
45,-87.6612295,41.9058022,3,21718
46,-87.663631,41.9087564,1,6787
47,-87.6608704,41.9058724,1,2418
48,-87.6622265,41.9079512,2,10416
49,-87.6660572,41.9127039,1,4276
50,-87.673174,41.9196722,2,17725
51,-87.675191,41.9208312,18,31465
52,-87.6784384,41.9226763,3,18501
53,-87.6799299,41.9231763,3,19762
54,-87.6905954,41.929581,1,6788
55,-87.7040013,41.9373438,1,8505
56,-87.7080025,41.9394956,2,14868
57,-87.7155908,41.9426982,1,10417
58,-87.7159807,41.9430445,4,24901
59,-87.7198948,41.9481464,1,12236
60,-87.7237913,41.9500789,2,19161
61,-87.7356175,41.9567778,1,13672
62,-87.7390359,41.9586939,1,14869
63,-87.7426331,41.9609984,2,19763
64,-87.7654334,41.9721883,1,5855
65,-87.7812421,41.9810569,1,5856
66,-87.7927379,41.9825776,2,18502
67,-87.7951595,41.982555,1,6789
68,-87.6601936,41.900116,2,12237
69,-87.6583964,41.8967333,1,5857
70,-87.6500478,41.8905974,21,31700
71,-87.6461014,41.886419,1,6790
72,-87.6147906,41.8532976,2,12238
73,-87.623007,41.8481291,1,5858
74,-87.6364211,41.9388155,2,18503
75,-87.644576,41.9526472,5,26538
76,-87.6450479,41.9563936,1,6791
77,-87.6460778,41.9600892,4,22876
78,-87.6458185,41.9575946,1,6792
79,-87.6448249,41.9520919,9,28870
80,-87.6365992,41.938727,4,25333
81,-87.6441624,41.9546674,2,15917
82,-87.6452346,41.9546336,11,30104
83,-87.6505266,41.9545531,10,30075
84,-87.6545492,41.9544896,9,30045
85,-87.6622248,41.9543786,8,29285
86,-87.6642174,41.9543601,18,31479
87,-87.6691098,41.9543017,14,30950
88,-87.6722244,41.9543067,5,24902
89,-87.6737939,41.95429,15,31092
90,-87.6742104,41.9542834,1,7492
91,-87.6787698,41.9542239,35,32022
92,-87.6568539,41.9544561,6,26539
93,-87.6789621,41.9614608,11,30138
94,-87.6743379,41.9578743,1,14870
95,-87.6738757,41.9578822,16,31245
96,-87.6723064,41.9579071,15,31126
97,-87.6707043,41.9579325,1,13673
98,-87.6692018,41.9579563,33,31996
99,-87.670773,41.9597405,3,19764
100,-87.6723658,41.9597207,2,17726
101,-87.6739308,41.9597107,1,2419
102,-87.6739644,41.9615255,4,25539
103,-87.6724109,41.9615474,1,9759
104,-87.6708455,41.9615695,9,29340
105,-87.6692933,41.9615914,2,18504
106,-87.6760159,41.9614947,2,18505
107,-87.6775017,41.9614774,4,23837
108,-87.6659493,41.9616385,5,26945
109,-87.6639211,41.9616649,14,31073
110,-87.6635425,41.96167,2,10418
111,-87.6580335,41.9617413,1,5368
112,-87.6455339,41.9620856,1,16864
113,-87.6738368,41.9560616,1,10419
114,-87.6722502,41.9560866,2,18506
115,-87.6706788,41.9561115,4,23838
116,-87.6706388,41.9543279,2,12239
117,-87.669156,41.9561355,2,19162
118,-87.674511,41.9615173,5,25720
119,-87.6652762,41.9598192,3,19163
120,-87.664497,41.9580264,1,9083
121,-87.6595944,41.9510461,34,32010
122,-87.6434305,41.9300096,2,14871
123,-87.6439128,41.9307235,6,26072
124,-87.6445768,41.931849,4,25540
125,-87.6478115,41.9364347,13,30712
126,-87.6492119,41.9381476,27,31897
127,-87.6506707,41.9399528,12,30361
128,-87.6741299,41.9514814,1,6793
129,-87.6741576,41.9524082,3,19765
130,-87.6741837,41.9532828,1,8789
131,-87.6726372,41.9543001,1,8790
132,-87.6639986,41.9470831,4,23531
133,-87.6785498,41.9468686,6,27427
134,-87.6365856,41.9256577,1,5859
135,-87.6363854,41.9192403,1,6646
136,-87.6584642,41.9252911,9,29341
137,-87.6487665,41.9254527,17,31434
138,-87.6463364,41.9254912,9,29286
139,-87.6404525,41.9255836,24,31787
140,-87.6687269,41.9396962,3,23209
141,-87.658713,41.9325569,12,30699
142,-87.6396179,41.8780554,1,10420
143,-87.63668,41.8780844,1,12240
144,-87.6352101,41.8781024,2,19164
145,-87.6337282,41.8781154,5,27070
146,-87.6327618,41.8781267,2,13674
147,-87.6322422,41.8781333,10,29942
148,-87.6307563,41.8781453,1,9760
149,-87.6242044,41.8782851,3,21279
150,-87.6243962,41.8782813,4,24407
151,-87.6260748,41.8782417,8,28871
152,-87.6276946,41.8781992,2,18507
153,-87.6287514,41.8781829,3,20806
154,-87.6292763,41.8781719,1,10421
155,-87.635174,41.8768253,1,13675
156,-87.6336933,41.8768392,9,29388
157,-87.6327174,41.8768452,3,19766
158,-87.6366184,41.8768118,4,23532
159,-87.6260548,41.8769622,5,25721
160,-87.6243698,41.8770034,3,20307
161,-87.6241746,41.8769665,2,16865
162,-87.6276651,41.8769191,14,30855
163,-87.6287165,41.8768931,4,23533
164,-87.62924,41.8768856,2,17727
165,-87.6261184,41.8795286,4,24656
166,-87.6233091,41.8758806,9,30015
167,-87.6241823,41.8757659,1,8791
168,-87.6243391,41.8756679,3,19767
169,-87.6369331,41.8780776,30,31963
170,-87.6368415,41.8768097,2,19768
171,-87.6331086,41.8768422,1,7493
172,-87.6241384,41.9008202,1,12241
173,-87.6240415,41.8992102,9,29237
174,-87.6240243,41.898389,4,23210
175,-87.6240544,41.8975812,21,31665
176,-87.6241504,41.8967408,8,29287
