id,name,category
43,Lady Liberty,1
279,New York City Vietnam Veterans Memorial Plaza,1
333,Castle Clinton National Monument,1
573,St. Paul's Chapel,1
307,Seagram Building,1
372,Gracie Mansion,1
576,Times Square,1
502,St Joseph's Chapel Catholic Memorial at Ground Zero,1
304,United States Custom House,1
360,Trinity Church Cemetery & Mausoleum,1
26,Statue of Confucius,1
493,Herald Square,1
369,MetLife Building,1
465,The Dakota,1
560,GhostBusters Firestation,1
379,Hearst Tower,1
75,Canyon of Heroes,1
139,Tweed Courthouse,1
619,Top of the Rock,1
615,Statue of Liberty,1
399,Belasco Theatre,2
332,The Pershing Square Signature Center,2
24,The Players Theatre,2
338,Delacorte Theater,2
349,New York Comic-Con,2
125,Memorial Baptist Church,2
82,Foxwoods Theater,2
173,Playwrights Horizons,2
28,The Governors Ball Music Festival,2
459,Ed Sullivan Theater,2
132,Daryl Roth Theatre,2
588,Apollo Theater,2
219,Orpheum Theatre,2
17,Lincoln Square,2
422,Brooks Atkinson Theatre,2
108,Tribeca Film Festival,2
397,Joyce Theater,2
532,Broadway Theatre,2
288,Times Square Countdown,2
580,Majestic Theatre,2
450,National Museum of Mathematics,4
265,The American Kennel Club Museum of the Dog,4
175,Union Square Metronome,4
113,Arcadia Earth,4
318,Agora Gallery,4
115,Grolier Club,4
104,Ukrainian Museum,4
435,Museum of Arts and Design,4
433,Museum of Chinese in  America,4
283,Obscura Antiques & Oddities,4
5,Gulliver's Gate,4
251,Museum of American Finance,4
204,El Museo del Barrio,4
232,Japan Society,4
586,Neue Galerie,4
264,Gagosian Gallery,4
426,"Banksy's ""Hammer Boy""",4
35,Center for Jewish History,4
105,Guardians Superhero Sculptures,4
195,Taglialatella Galleries,4
208,GemsNY,3
384,ABC Carpet & Home,3
235,Dave's New york,3
44,Aqueduct Race Track,3
437,City Winery,3
302,Scandinavia House,3
278,Barney's,3
73,Logos Bookstore,3
430,Time Warner Center,3
447,East Village,3
486,Lower East Side,3
194,Sloomoo Institute,3
254,Bowery,3
357,Holcombe Rucker Park,3
247,Malcolm Shabazz Harlem Market,3
268,Grand Bazaar NYC,3
6,Greenwich Village,3
25,Greenflea Flea Market,3
168,MoPi - Museum of Pizza,3
315,T.J. Maxx,3
121,Holy Innocents Church,0
317,Church of Saint Joseph of the Holy Family,0
371,Grace Church,0
90,Church of Our Lady of Guadalupe,0
545,Cathedral Church of Saint John the Divine,0
260,Mother African Methodist Episcopal Zion Church,0
413,Temple Emanu-El,0
571,St. Patrick's Old Cathedral,0
248,Fifth Avenue Presbyterian Church,0
151,Church of Saint Agnes,0
149,Church of the Ascension,0
93,St. Jean Baptiste Roman Catholic Church,0
98,The New York Mosque,0
364,Central Synagogue,0
94,Peace Fountain - Friedensbrunnen,0
192,Church of the Transfiguration,0
74,New York Grand Opera,0
394,St. Bartholomew's Church,0
163,Our Lady of Pompeii,0
157,Holy Trinity Greek Orthodox Cathedral,0
122,John Jay Park,5
342,Channel Gardens,5
161,Harlem Meer,5
534,Governors Island National Monument,5
456,George Washington Bridge,5
16,Wollman Rink,5
455,Williamsburg Bridge,5
45,Dante Park,5
514,New York Harbor,5
303,Sutton Place Park,5
361,Morningside Park,5
148,Turtle Pond,5
377,Trump Rink in Central Park,5
102,Theodore Roosevelt Park,5
614,The High Line,5
300,Dalmatian and Taxi Sculpture,5
134,Manhattan Waterfront Greenway,5
544,Fort Tryon Park,5
419,Chelsea Piers Sports & Entertainment Complex,5
30,Conservatory Water,5
