id,lng,lat,depth,order
0,-73.7946273,40.7864093,1,8936
1,-73.7570906,40.7624294,1,8937
2,-73.7441643,40.7534671,1,8938
3,-73.9600437,40.7980478,2,25191
4,-73.9614745,40.7986542,7,49419
5,-73.9628734,40.7992437,4,43254
6,-73.9656909,40.8004295,3,42316
7,-73.9679955,40.8013981,8,49671
8,-73.9685741,40.8016452,7,49542
9,-73.9700504,40.8022679,3,37083
10,-73.9750067,40.7826383,2,28243
11,-73.9778254,40.783828,3,38693
12,-73.9795827,40.7845691,1,13207
13,-73.9806732,40.7850352,2,36189
14,-73.9820041,40.7855915,1,15028
15,-73.9313239,40.8593291,18,55468
16,-73.930122,40.858744,1,4938
17,-73.927625,40.859012,3,18762
18,-73.926786,40.859944,1,8939
19,-73.9703125,40.7839869,1,15029
20,-73.9731496,40.7851818,2,25192
21,-73.9759753,40.7863627,12,53276
22,-73.9776927,40.7870877,2,37084
23,-73.9788225,40.7875711,5,45034
24,-73.9810702,40.788486,1,15030
25,-73.976212,40.725326,1,8067
26,-73.9568234,40.8126219,1,17302
27,-73.9598214,40.8138307,49,56646
28,-73.9606929,40.814184,1,17303
29,-73.9959291,40.7328569,1,17905
30,-73.9991816,40.7341463,5,45625
31,-74.0087265,40.7042693,7,49784
32,-74.008386,40.7038639,1,8940
33,-74.0077746,40.7033264,2,27874
34,-74.0089696,40.7041084,3,37085
35,-74.0079952,40.7032048,6,44708
36,-73.9810586,40.7692956,2,17906
37,-73.982236,40.7697925,7,48160
38,-73.9838597,40.7704797,1,8941
39,-73.986677,40.7716605,2,27525
40,-73.9895402,40.7728633,8,48657
41,-73.9679404,40.787235,1,15031
42,-73.9707862,40.7884325,4,43660
43,-73.9736025,40.7896131,1,17907
44,-73.9751294,40.7902583,1,18763
45,-73.9764487,40.7908218,5,45351
46,-73.978619,40.7917878,4,38694
47,-74.0157971,40.7115871,2,13208
48,-74.0143969,40.7110047,3,36190
49,-74.0116583,40.7096669,4,39412
50,-74.0105706,40.7091731,2,30074
51,-74.009371,40.708614,9,51112
52,-74.008269,40.7077219,3,35205
53,-73.9333873,40.8016439,1,8942
54,-73.9337706,40.8021471,2,25193
55,-73.9328935,40.8021545,1,10055
56,-74.00742,40.748197,2,25194
57,-74.0027542,40.7062566,3,28244
58,-74.001657,40.7094916,15,54788
59,-73.9827522,40.7879993,1,8943
60,-73.9311515,40.8007075,1,11906
61,-73.9736517,40.7381466,1,8944
62,-73.9826519,40.7849764,8,49892
63,-73.9721346,40.7456709,1,22259
64,-73.9749735,40.7460881,1,14387
65,-73.9757407,40.7163982,1,4090
66,-73.9748036,40.718847,2,30075
67,-73.9853322,40.7835314,11,52696
68,-73.9337078,40.8442415,6,46935
69,-73.932313,40.846152,1,16446
70,-73.9326159,40.8026802,1,11907
71,-73.9329255,40.8033683,5,45035
72,-73.9334099,40.802694,6,48990
73,-73.9775923,40.7132542,6,48830
74,-73.9777769,40.7124667,1,8945
75,-73.9814926,40.71075,1,10056
76,-74.006113,40.7237914,17,55312
77,-74.007029,40.724504,4,37086
78,-73.9747151,40.721087,2,25195
79,-73.9645095,40.7589831,1,15032
80,-73.9640002,40.7596426,3,40713
81,-73.960551,40.7595738,1,8946
82,-73.979076,40.766876,3,34152
83,-73.9619964,40.7620775,21,55799
84,-73.9738156,40.738339,1,8947
85,-73.998505,40.7587817,3,20405
86,-73.9969538,40.7593876,1,8948
87,-73.9992001,40.7588687,2,4939
88,-73.996857,40.7577291,1,20406
89,-73.9437833,40.7828748,11,53826
90,-73.9856862,40.780311,7,48991
91,-73.9643559,40.7606212,52,56656
92,-73.9318124,40.7944866,1,5780
93,-73.9322765,40.793757,6,48658
94,-73.9484005,40.769641,2,15928
95,-73.9491341,40.7687032,5,43661
96,-73.9950304,40.7693848,1,8949
97,-73.9735934,40.7794865,14,54520
98,-73.9344659,40.8171783,6,49543
99,-74.0067668,40.7217241,3,18764
100,-74.0079995,40.7211998,1,8950
101,-74.0078146,40.7209099,4,28178
102,-74.0075453,40.7208183,1,10057
103,-74.0082309,40.7219848,6,45036
104,-73.964694,40.7916758,25,56148
105,-73.9352393,40.8295918,1,8951
106,-73.9355839,40.8305218,3,34153
107,-73.9363638,40.8304127,2,23709
108,-74.008466,40.7206456,4,37932
109,-74.0079297,40.7237578,19,55543
110,-74.0070994,40.7244054,1,8952
111,-73.9768477,40.7146195,1,8953
112,-73.9592658,40.7593001,2,28245
113,-73.9594899,40.8202619,1,10058
114,-73.9570228,40.8232976,2,26702
115,-73.9601312,40.8197265,5,45037
116,-73.9610583,40.8186803,1,8954
117,-73.9618103,40.8180007,1,4091
118,-73.9355669,40.8069238,3,40101
119,-73.9349387,40.80669,1,8955
120,-73.9948115,40.7576654,8,48659
121,-73.9698495,40.784623,3,36191
122,-74.0059302,40.7244132,4,38695
123,-73.967223,40.8105617,3,36192
124,-73.9610256,40.8176607,4,40102
125,-73.977917,40.715649,1,8956
126,-73.9529821,40.7917218,3,30076
127,-73.9841323,40.7856025,1,4092
128,-73.9641772,40.7923773,26,56216
129,-73.9596517,40.8203291,2,28246
130,-73.9760092,40.7954937,2,31614
131,-73.9348645,40.8282864,2,25196
132,-73.9344443,40.8158343,1,8957
133,-73.9343888,40.814759,4,44379
134,-73.9628541,40.7942085,6,46936
135,-73.929126,40.7993152,1,13924
136,-73.9312143,40.8034625,1,15962
137,-73.93598,40.8310238,1,8958
138,-73.930985,40.8668739,1,8959
139,-74.0005026,40.7143955,2,25197
140,-73.9318334,40.8692662,1,0
141,-74.0075216,40.7239092,2,25198
142,-74.0074947,40.723454,1,10059
143,-73.9323444,40.8039382,3,41284
144,-73.952396,40.7982188,3,39413
145,-73.9515065,40.7602431,2,17778
146,-73.9376003,40.8337341,5,46432
147,-74.0128371,40.7024415,2,23710
148,-73.9303673,40.8025637,2,26703
149,-73.9367868,40.7923959,1,4093
150,-73.9354669,40.834924,1,8960
151,-73.9758273,40.7472955,3,37087
152,-73.9692725,40.74693,1,8961
153,-73.974504,40.7374172,5,44024
154,-73.9749044,40.7369776,2,25199
155,-73.9479808,40.7624373,1,1
156,-73.949099,40.7629715,2,18765
157,-73.9348501,40.806301,1,10060
158,-73.9342503,40.8179047,1,10061
159,-73.9343644,40.8188825,8,50602
160,-73.9367296,40.7904084,1,8962
161,-73.9311538,40.847737,2,34154
162,-73.9521462,40.7652696,2,25200
163,-73.9510157,40.7665323,3,31615
164,-73.9558339,40.7566077,2,9811
165,-73.9441039,40.8353715,19,55456
166,-73.9445746,40.8363811,2,34155
167,-73.9442977,40.8370771,3,39414
168,-73.9440172,40.8377866,5,44709
169,-73.9437512,40.8384634,4,41823
170,-73.943465,40.839174,1,15033
171,-73.9430682,40.8401941,11,52697
172,-73.9422847,40.8421541,1,10062
173,-73.9420178,40.8428216,5,45038
174,-73.9416342,40.8434507,1,11908
175,-73.9411456,40.8440509,4,41285
176,-73.9408022,40.844695,3,40714
177,-73.9405244,40.8453757,6,47788
178,-73.9402488,40.8460446,1,15034
179,-73.9400565,40.8465308,2,27440
180,-73.9397798,40.8472122,9,51497
181,-73.9395229,40.847842,13,54081
182,-73.9386594,40.8499781,4,39415
183,-73.938284,40.850909,11,52743
184,-73.937819,40.852128,3,28179
185,-73.937435,40.85338,4,34156
186,-73.9369042,40.8551136,6,46693
187,-73.935602,40.857109,7,48323
188,-74.0058474,40.7116883,1,8963
189,-74.0042501,40.710185,6,49544
190,-74.0064696,40.706993,1,10063
191,-74.005691,40.706375,3,31616
192,-74.0052131,40.7059974,1,13209
193,-74.0044743,40.705408,2,28247
194,-74.0035719,40.7135983,1,8964
195,-74.0021328,40.715168,18,55330
196,-74.0016876,40.7157533,3,39416
197,-74.000818,40.71693,2,28248
198,-74.000274,40.717619,1,17908
199,-73.9999554,40.718016,8,51581
200,-73.9994292,40.7186723,1,8965
201,-73.999234,40.718913,2,34157
202,-73.9985112,40.7198029,26,56184
203,-73.997655,40.720836,6,46433
204,-73.9842558,40.7152112,2,34158
205,-73.9836386,40.7161377,1,8966
206,-73.9833624,40.7166776,11,53010
207,-73.9831071,40.717175,1,13210
208,-73.9825206,40.7183141,1,8967
209,-73.9819415,40.7194618,2,20326
210,-73.9813453,40.7206496,1,17909
211,-73.9909583,40.7396792,1,17910
212,-73.9941671,40.7410305,8,51582
213,-73.997007,40.742228,1,18766
214,-73.9998513,40.7434264,3,37933
215,-74.0027323,40.7446399,1,20407
216,-74.005535,40.745816,4,41824
217,-74.0078599,40.746795,1,8968
218,-74.0166109,40.7081724,3,31617
219,-74.017398,40.708457,2,17911
220,-73.9923179,40.7435682,6,47161
221,-73.9951595,40.744765,2,30077
222,-73.998,40.7459612,1,17912
223,-74.0008813,40.7471747,2,28249
224,-74.003684,40.748355,4,43255
225,-74.0082779,40.7502334,4,39417
226,-73.9112343,40.8716544,3,30078
227,-73.9126036,40.8722414,7,48324
228,-73.9522263,40.8123183,1,8969
229,-73.95177,40.81294,3,28250
230,-73.951322,40.813567,2,13211
231,-73.95086,40.814187,1,3998
232,-73.9497399,40.8179231,4,39418
233,-73.9485312,40.8214875,1,8970
234,-73.9808938,40.714251,1,7403
235,-73.9808346,40.7135531,7,49145
236,-73.9806225,40.7115207,1,13212
237,-73.9734832,40.7636536,5,44025
238,-73.974136,40.7639258,2,15929
239,-73.927319,40.855598,3,18767
240,-73.928716,40.856182,4,37088
241,-73.9297266,40.8566083,1,7404
242,-73.932043,40.857841,3,28180
243,-73.932977,40.8581161,1,4940
244,-73.986846,40.745301,3,38696
245,-73.9886122,40.7460455,6,45626
246,-73.9900676,40.7466658,2,30079
247,-73.9929242,40.7478717,4,45039
248,-73.9957298,40.7490537,2,31618
249,-74.0014254,40.7514485,1,20408
250,-74.0042702,40.7526451,8,50906
251,-74.0070387,40.7537821,1,22260
252,-73.9371434,40.8134253,2,26586
253,-73.9300037,40.8621121,3,30080
254,-73.9296676,40.8622107,2,25201
255,-73.9286059,40.8626215,1,15035
256,-73.927766,40.862926,7,48161
257,-73.926923,40.863238,5,42317
258,-73.926011,40.863575,10,51829
259,-73.923767,40.864403,2,27526
260,-73.921884,40.8651,4,38697
261,-73.919996,40.865797,1,13213
262,-73.918596,40.866315,2,31619
263,-73.917205,40.866813,1,8971
264,-73.9424535,40.8272063,3,36193
265,-73.941997,40.827823,1,15036
266,-73.94154,40.828447,2,23648
267,-73.941078,40.829083,1,16447
268,-73.9402064,40.8302773,9,51660
269,-73.9717224,40.7820388,23,55996
270,-73.9096352,40.8745523,3,38698
271,-73.9110993,40.8746713,1,4094
272,-73.9122655,40.8750497,5,36194
273,-73.9128004,40.8756706,3,28251
274,-74.0094849,40.7045596,1,18768
275,-73.9588108,40.7599137,3,37089
276,-73.9583585,40.7605391,18,55491
277,-73.9579018,40.7611816,19,55504
278,-73.9574532,40.7617963,1,16448
279,-73.9569931,40.7624248,2,31620
280,-73.9565342,40.7630517,3,32959
281,-73.9560793,40.7636731,1,18222
282,-73.9556211,40.7642988,4,43256
283,-73.9551666,40.7649207,1,20146
284,-73.9547105,40.7655447,3,37090
285,-73.9542439,40.7661832,7,47789
286,-73.9537482,40.7668593,3,35206
287,-73.9532494,40.7675409,5,45627
288,-73.9527922,40.7681722,2,27875
289,-73.9523297,40.768811,6,46937
290,-73.9518664,40.7694509,2,28252
291,-73.951405,40.770088,3,37091
292,-73.950941,40.7707171,4,42800
293,-73.9504381,40.771399,9,51410
294,-73.9499354,40.7720762,2,26231
295,-73.9494733,40.7727093,1,26021
296,-73.9490103,40.7733435,7,48489
297,-73.9485489,40.7739755,8,48660
298,-73.9480825,40.7746144,6,47162
299,-73.9476222,40.775245,4,44026
300,-73.9471206,40.775932,1,28181
