start,end,length
1,0,1332.836
2,17962,322.4629999999999
2,25091,500.211
3,24829,354.28700000000003
4,24342,755.2359999999999
4,5,123.33
5,24348,614.266
6,29335,60.005
6,21840,273.944
7,28491,745.451
7,28495,717.509
8,24297,1434.0300000000002
8,24286,510.94399999999996
10,943,20.892
11,10,423.64300000000003
12,24446,914.4689999999999
12,24448,386.66800000000006
13,26914,559.136
14,25039,301.8299999999999
25039,14,301.8299999999999
15,24809,23.616
24809,15,23.616
15,24794,204.14900000000003
16,23,230.40099999999998
16,1035,462.50899999999996
17,1088,202.052
1088,17,202.052
17,498,149.054
498,17,149.054
18,19,183.003
19,18,183.003
18,1110,205.36299999999997
1110,18,205.36299999999997
19,1088,849.393
1088,19,849.393
20,21211,206.073
21211,20,206.073
20,20999,82.33699999999999
20999,20,82.33699999999999
20,139,111.064
139,20,111.064
21,21213,17.372999999999998
21213,21,17.372999999999998
22,21214,122.46300000000001
21214,22,122.46300000000001
22,21206,187.36999999999998
21206,22,187.36999999999998
23,1035,240.74900000000002
23,498,100.99
498,23,100.99
24,27561,191.912
25,24732,293.854
25,22631,807.8420000000001
26,26774,23.442
26,25087,40.943
27,26890,14.515
26890,27,14.515
27,4339,203.42899999999997
27,12893,91.90599999999999
12893,27,91.90599999999999
28,26776,17.551
26776,28,17.551
28,26885,413.707
28,26920,51.194
26920,28,51.194
29,21455,398.079
29,21451,772.0390000000002
30,21428,191.03
31,32,788.0640000000002
32,21823,319.56100000000004
33,22382,361.353
34,14305,514.2379999999999
34,29065,963.6569999999999
35,36,194.893
36,21249,341.0159999999999
36,37,757.956
37,38,157.91400000000002
38,1397,322.106
38,39,593.8879999999999
39,21824,344.604
40,28964,356.592
41,28490,241.066
43,44,437.324
44,1165,193.96800000000002
45,22656,266.033
45,3,548.8340000000001
46,45,389.9789999999999
47,48,259.906
48,21264,355.077
48,49,620.1199999999999
49,26927,373.02900000000005
50,51,210.857
51,511,299.72
52,27514,342.845
54,1172,391.34700000000004
55,29177,305.96500000000003
55,56,408.4990000000001
56,8240,500.92499999999995
56,57,729.8810000000001
57,58,50.227
58,21247,415.567
58,59,661.153
59,60,388.063
60,21251,414.4319999999999
60,25460,1210.74
61,22383,167.503
61,1229,303.05400000000003
62,24689,275.9
62,63,393.471
63,22179,74.368
63,21422,1002.096
64,21423,334.331
64,21424,330.18399999999997
65,1225,309.52299999999997
65,66,996.623
66,67,200.177
67,1370,425.277
67,21449,524.495
68,47,649.0970000000001
68,21265,336.876
69,24828,65.918
70,24347,346.6610000000001
70,24350,183.25
72,24443,715.0440000000001
73,24452,287.635
73,944,330.35900000000004
74,463,238.702
75,76,420.81600000000003
75,81,227.464
76,77,421.40500000000003
77,112,227.06699999999998
78,26801,206.46300000000002
78,79,623.2370000000001
80,500,1329.86
81,742,723.6179999999997
742,81,723.6179999999997
81,76,205.906
81,82,88.743
82,81,88.743
82,79,290.351
82,21070,176.146
21070,82,176.146
82,26801,130.16199999999998
26801,82,130.16199999999998
82,21130,117.127
21130,82,117.127
83,21064,112.16300000000001
21064,83,112.16300000000001
83,21133,132.515
21133,83,132.515
83,22219,67.261
22219,83,67.261
83,21132,88.375
21132,83,88.375
84,21063,104.82000000000001
21063,84,104.82000000000001
84,905,131.407
905,84,131.407
84,21133,200.202
21133,84,200.202
84,21135,104.509
21135,84,104.509
85,21015,247.90099999999998
21015,85,247.90099999999998
85,21151,63.019999999999996
21151,85,63.019999999999996
86,13842,101.536
13842,86,101.536
86,21152,56.086
21152,86,56.086
86,13841,201.653
13841,86,201.653
87,26618,10.494
26618,87,10.494
87,443,203.724
88,131,34.144
88,28836,11.01
28836,88,11.01
88,114,197.928
89,28835,11.187
28835,89,11.187
89,90,34.45
89,113,197.025
113,89,197.025
90,28834,10.875
90,22183,174.798
91,28831,12.172
28831,91,12.172
91,28832,11.358
28832,91,11.358
91,22184,97.14
22184,91,97.14
91,22198,201.521
91,22191,109.815
22191,91,109.815
92,29361,4.549
29361,92,4.549
93,22186,101.904
22186,93,101.904
93,107,120.76599999999999
107,93,120.76599999999999
93,22147,134.35999999999999
22147,93,134.35999999999999
94,95,38.229
95,94,38.229
94,22190,102.471
94,1867,128.237
1867,94,128.237
95,101,203.371
95,113,202.589
113,95,202.589
96,100,201.72400000000002
96,97,132.506
97,96,132.506
97,115,202.497
97,98,124.26899999999999
98,97,124.26899999999999
98,26620,10.785
26620,98,10.785
98,117,202.499
99,97,201.12099999999998
99,26830,126.182
100,103,203.154
100,99,131.722
101,102,201.816
101,100,129.409
102,118,45.204
118,102,45.204
102,103,128.47299999999998
103,102,128.47299999999998
102,878,202.756
103,802,203.184
103,104,129.457
104,103,129.457
104,105,128.365
105,104,128.365
105,26621,8.955
26621,105,8.955
105,26830,202.811
106,1868,203.0
106,118,124.45599999999999
118,106,124.45599999999999
106,107,122.86699999999999
107,106,122.86699999999999
107,21056,202.375
108,21053,103.701
21053,108,103.701
108,801,204.158
801,108,204.158
108,255,147.39399999999998
255,108,147.39399999999998
108,815,84.169
815,108,84.169
109,110,31.309
110,109,31.309
109,815,83.557
815,109,83.557
110,807,29.216
110,806,85.54899999999999
806,110,85.54899999999999
111,816,238.82699999999997
111,28797,139.382
28797,111,139.382
111,799,127.766
799,111,127.766
112,1184,275.916
1184,112,275.916
112,711,209.291
112,682,113.273
682,112,113.273
113,114,131.227
114,113,131.227
114,115,129.97
115,114,129.97
116,88,131.139
117,26619,11.404
26619,117,11.404
118,94,406.865
119,21053,106.12899999999999
21053,119,106.12899999999999
119,21055,105.75299999999999
21055,119,105.75299999999999
120,21055,103.795
21055,120,103.795
120,28459,41.903999999999996
28459,120,41.903999999999996
121,3359,74.54899999999999
3359,121,74.54899999999999
121,22242,27.9
22242,121,27.9
121,462,57.81399999999999
462,121,57.81399999999999
122,16570,88.42
16570,122,88.42
122,123,89.569
123,122,89.569
124,21208,61.582
21208,124,61.582
124,290,109.21199999999999
290,124,109.21199999999999
125,27405,110.99
27405,125,110.99
125,27222,106.23899999999999
27222,125,106.23899999999999
125,1127,183.18799999999996
1127,125,183.18799999999996
125,1128,150.94299999999998
126,21100,112.332
21100,126,112.332
126,1127,39.759
1127,126,39.759
126,1122,103.644
1122,126,103.644
127,466,115.464
466,127,115.464
128,22251,227.17999999999998
128,19124,100.67800000000001
129,1852,174.44299999999998
1852,129,174.44299999999998
129,128,103.08099999999999
130,129,97.275
130,1853,174.49599999999998
1853,130,174.49599999999998
131,28837,11.061
28837,131,11.061
131,89,95.662
132,13839,104.03
13839,132,104.03
132,10704,201.75
10704,132,201.75
132,22243,101.58099999999999
22243,132,101.58099999999999
132,27646,99.06700000000001
27646,132,99.06700000000001
133,21272,102.888
21272,133,102.888
133,22254,102.2
22254,133,102.2
133,22268,100.67200000000001
22268,133,100.67200000000001
133,27640,200.18699999999998
27640,133,200.18699999999998
134,5474,205.571
5474,134,205.571
134,20999,126.64599999999999
20999,134,126.64599999999999
134,1088,43.673
1088,134,43.673
135,26806,33.862
135,26805,18.386000000000003
135,12274,103.624
12274,135,103.624
136,22366,199.97199999999998
22366,136,199.97199999999998
136,21706,106.994
21706,136,106.994
136,21244,168.311
21244,136,168.311
136,21245,101.066
21245,136,101.066
137,21194,101.948
21194,137,101.948
137,24983,201.547
24983,137,201.547
137,5186,285.233
5186,137,285.233
137,21683,400.0449999999999
21683,137,400.0449999999999
138,21961,198.87999999999997
21961,138,198.87999999999997
138,21194,99.142
21194,138,99.142
139,21000,85.025
21000,139,85.025
140,26808,9.711
26808,140,9.711
141,22375,202.007
22375,141,202.007
141,14271,285.198
14271,141,285.198
