no,lng,lat,sites,hotel,name
0,-87.8638251,41.9884844,,N,
1,-87.8491983,41.983951,,N,
2,-87.8178229,41.9834316,,N,
3,-87.6609207,41.9009018,,N,
4,-87.6571137,41.8950178,,N,
5,-87.6559762,41.8943014,,N,
6,-87.6460582,41.884233,,N,
7,-87.644383,41.8577727,,N,
8,-87.6683828,41.8375443,,N,
9,-87.7495577,41.8152191,,N,
10,-87.6226635,41.8478853,,N,
11,-87.6275907,41.8469622,,N,
12,-87.636332,41.8472219,,N,
13,-87.6645459,41.8389233,,N,
14,-87.6176192,41.8603344,,N,
15,-87.6172207,41.880924,,N,
16,-87.6305341,41.924159,,N,
17,-87.6336208,41.9257453,,N,
18,-87.6371345,41.9311325,,N,
19,-87.6386812,41.9322935,,N,
20,-87.6391109,41.9256191,,N,
21,-87.6423145,41.928689,,N,
22,-87.6392722,41.9296848,,N,
23,-87.6306697,41.9262229,,N,
24,-87.6810861,41.8758136,,N,
25,-87.7066608,41.8745178,,N,
26,-87.7414758,41.7913331,,N,
27,-87.7432646,41.8076255,,N,
28,-87.7418563,41.793086,,N,
29,-87.7931539,41.9823322,,N,
30,-87.7701986,41.9745034,,N,
31,-87.7535123,41.9664272,,N,
32,-87.7457421,41.9624137,,N,
33,-87.7421814,41.959961,,N,
34,-87.7373082,41.9571364,,N,
35,-87.7238663,41.9496325,,N,
36,-87.7219806,41.9485817,,N,
37,-87.716836,41.9432283,,N,
38,-87.7156292,41.9421347,,N,
39,-87.7092513,41.9397862,,N,
40,-87.7033381,41.9363501,,N,
41,-87.6997239,41.9342299,,N,
42,-87.6940861,41.9308994,,N,
43,-87.6915853,41.9296451,,N,
44,-87.6872907,41.9273577,,N,
45,-87.6612295,41.9058022,,N,
46,-87.663631,41.9087564,,N,
47,-87.6608704,41.9058724,,N,
48,-87.6622265,41.9079512,,N,
49,-87.6660572,41.9127039,,N,
50,-87.673174,41.9196722,,N,
51,-87.675191,41.9208312,,N,
52,-87.6784384,41.9226763,,N,
53,-87.6799299,41.9231763,,N,
54,-87.6905954,41.929581,,N,
55,-87.7040013,41.9373438,,N,
56,-87.7080025,41.9394956,,N,
57,-87.7155908,41.9426982,,N,
58,-87.7159807,41.9430445,,N,
59,-87.7198948,41.9481464,,N,
60,-87.7237913,41.9500789,,N,
61,-87.7356175,41.9567778,,N,
62,-87.7390359,41.9586939,,N,
63,-87.7426331,41.9609984,,N,
64,-87.7654334,41.9721883,,N,
65,-87.7812421,41.9810569,,N,
66,-87.7927379,41.9825776,,N,
67,-87.7951595,41.982555,,N,
68,-87.6601936,41.900116,,N,
69,-87.6583964,41.8967333,,N,
70,-87.6500478,41.8905974,,N,
71,-87.6461014,41.886419,,N,
72,-87.6147906,41.8532976,,N,
73,-87.623007,41.8481291,,N,
74,-87.6364211,41.9388155,,N,
75,-87.644576,41.9526472,,N,
76,-87.6450479,41.9563936,,N,
77,-87.6460778,41.9600892,,N,
78,-87.6458185,41.9575946,,N,
79,-87.6448249,41.9520919,,N,
80,-87.6365992,41.938727,,N,
81,-87.6441624,41.9546674,,N,
82,-87.6452346,41.9546336,,N,
83,-87.6505266,41.9545531,,N,
84,-87.6545492,41.9544896,,N,
85,-87.6622248,41.9543786,,N,
86,-87.6642174,41.9543601,,N,
87,-87.6691098,41.9543017,,N,
88,-87.6722244,41.9543067,,N,
89,-87.6737939,41.95429,,N,
90,-87.6742104,41.9542834,,N,
91,-87.6787698,41.9542239,,N,
92,-87.6568539,41.9544561,,N,
93,-87.6789621,41.9614608,,N,
94,-87.6743379,41.9578743,,N,
95,-87.6738757,41.9578822,,N,
96,-87.6723064,41.9579071,,N,
97,-87.6707043,41.9579325,,N,
98,-87.6692018,41.9579563,,N,
99,-87.670773,41.9597405,,N,
100,-87.6723658,41.9597207,,N,
101,-87.6739308,41.9597107,,N,
102,-87.6739644,41.9615255,,N,
103,-87.6724109,41.9615474,,N,
104,-87.6708455,41.9615695,,N,
105,-87.6692933,41.9615914,,N,
106,-87.6760159,41.9614947,,N,
107,-87.6775017,41.9614774,,N,
108,-87.6659493,41.9616385,,N,
109,-87.6639211,41.9616649,,N,
110,-87.6635425,41.96167,,N,
111,-87.6580335,41.9617413,,N,
112,-87.6455339,41.9620856,,N,
113,-87.6738368,41.9560616,,N,
114,-87.6722502,41.9560866,,N,
115,-87.6706788,41.9561115,,N,
116,-87.6706388,41.9543279,,N,
117,-87.669156,41.9561355,,N,
118,-87.674511,41.9615173,,N,
119,-87.6652762,41.9598192,,N,
120,-87.664497,41.9580264,,N,
121,-87.6595944,41.9510461,,N,
122,-87.6434305,41.9300096,,N,
123,-87.6439128,41.9307235,,N,
124,-87.6445768,41.931849,,N,
125,-87.6478115,41.9364347,,N,
126,-87.6492119,41.9381476,,N,
127,-87.6506707,41.9399528,,N,
128,-87.6741299,41.9514814,,N,
129,-87.6741576,41.9524082,,N,
130,-87.6741837,41.9532828,,N,
131,-87.6726372,41.9543001,,N,
132,-87.6639986,41.9470831,,N,
133,-87.6785498,41.9468686,,N,
134,-87.6365856,41.9256577,,N,
135,-87.6363854,41.9192403,,N,
136,-87.6584642,41.9252911,,N,
137,-87.6487665,41.9254527,Alphawood Gallery,N,
138,-87.6463364,41.9254912,,N,
139,-87.6404525,41.9255836,,N,
140,-87.6687269,41.9396962,,N,
141,-87.658713,41.9325569,,N,
142,-87.6396179,41.8780554,,N,
143,-87.63668,41.8780844,,N,
144,-87.6352101,41.8781024,,N,
145,-87.6337282,41.8781154,,N,
146,-87.6327618,41.8781267,,N,
147,-87.6322422,41.8781333,,N,
148,-87.6307563,41.8781453,,N,
149,-87.6242044,41.8782851,,N,
150,-87.6243962,41.8782813,,N,
151,-87.6260748,41.8782417,,N,
152,-87.6276946,41.8781992,,N,
153,-87.6287514,41.8781829,,N,
154,-87.6292763,41.8781719,,N,
155,-87.635174,41.8768253,,N,
156,-87.6336933,41.8768392,,N,
157,-87.6327174,41.8768452,,N,
158,-87.6366184,41.8768118,,N,
159,-87.6260548,41.8769622,,N,
160,-87.6243698,41.8770034,,N,
161,-87.6241746,41.8769665,,N,
162,-87.6276651,41.8769191,,N,
163,-87.6287165,41.8768931,,N,
164,-87.62924,41.8768856,,N,
165,-87.6261184,41.8795286,,N,
166,-87.6233091,41.8758806,,N,
167,-87.6241823,41.8757659,,N,
168,-87.6243391,41.8756679,,N,
169,-87.6369331,41.8780776,,N,
170,-87.6368415,41.8768097,,N,
171,-87.6331086,41.8768422,,N,
172,-87.6241384,41.9008202,,N,
173,-87.6240415,41.8992102,,N,
174,-87.6240243,41.898389,,N,
175,-87.6240544,41.8975812,,N,
176,-87.6241504,41.8967408,,N,
177,-87.6241799,41.8957346,,N,
178,-87.6218759,41.9000459,,N,
179,-87.6202371,41.9000765,,N,
180,-87.6192608,41.9000948,,N,
181,-87.6218665,41.8992464,,N,
182,-87.6218531,41.8984208,,N,
183,-87.6218266,41.8976088,,N,
184,-87.6218106,41.8967646,,N,
185,-87.6187337,41.8992943,,N,
186,-87.6181914,41.8984693,,N,
187,-87.6176447,41.8976757,,N,
188,-87.6202196,41.8992723,,N,
189,-87.6202049,41.8984418,,N,
190,-87.6201917,41.897635,,N,
191,-87.6170654,41.8968396,,N,
192,-87.6163908,41.8958573,,N,
193,-87.6158718,41.8950717,,N,
194,-87.6153689,41.8942781,,N,
195,-87.6148753,41.8934964,,N,
196,-87.6268474,41.8966918,,N,
197,-87.6282103,41.8966783,,N,
198,-87.6242967,41.879569,,N,
199,-87.6244458,41.879565,,N,
200,-87.6242444,41.8808376,,N,
201,-87.6244501,41.8808333,,N,
202,-87.6244835,41.8820959,,N,
203,-87.6242436,41.8832411,,N,
204,-87.6245104,41.8832397,,N,
205,-87.62446,41.8868112,,N,
206,-87.6244459,41.8883049,,N,
207,-87.6277274,41.8794629,,N,
