start,end,length
0,20937,943.1700000000001
20937,0,943.1700000000001
1,23266,645.923
23266,1,645.923
2,9,579.89
9,2,579.89
3,5,111.107
5,3,111.107
3,1084,287.096
1084,3,287.096
4,12232,524.804
12232,4,524.804
5,6,96.97
6,5,96.97
5,12734,288.93399999999997
12734,5,288.93399999999997
6,12733,289.897
12733,6,289.897
7,332,790.2729999999999
332,7,790.2729999999999
7,20,1610.7630000000001
20,7,1610.7630000000001
8,17877,713.828
17877,8,713.828
9,16917,104.712
16917,9,104.712
9,10,391.21000000000004
10,9,391.21000000000004
12,21242,1600.3890000000001
13,16419,1619.8819999999998
16419,13,1619.8819999999998
14,24069,881.4849999999999
24069,14,881.4849999999999
15,21006,696.096
21006,15,696.096
16,17,26.252000000000002
17,16,26.252000000000002
17,15913,286.112
18,20091,881.09
19,18859,670.8829999999999
18859,19,670.8829999999999
20,15878,1608.3529999999998
15878,20,1608.3529999999998
21,1760,859.6569999999999
1760,21,859.6569999999999
22,19501,108.717
19501,22,108.717
22,9100,307.735
9100,22,307.735
22,15562,201.08899999999997
15562,22,201.08899999999997
24,25,165.78
25,24,165.78
24,15529,108.722
15529,24,108.722
24,8780,100.785
8780,24,100.785
25,14196,103.341
14196,25,103.341
25,8781,101.90299999999999
8781,25,101.90299999999999
26,27,125.432
27,26,125.432
26,6410,531.908
6410,26,531.908
26,4672,230.47
4672,26,230.47
26,6411,251.70899999999997
6411,26,251.70899999999997
27,16736,382.163
16736,27,382.163
27,6033,305.13599999999997
6033,27,305.13599999999997
28,22916,102.92500000000001
28,3919,566.269
3919,28,566.269
28,24036,244.696
24036,28,244.696
28,29,123.347
29,28,123.347
29,10007,625.3
10007,29,625.3
30,21374,395.965
21374,30,395.965
31,19459,15.902
31,24174,100.766
32,5540,107.878
5540,32,107.878
32,23366,45.225
23366,32,45.225
32,20955,388.99800000000005
20955,32,388.99800000000005
32,33,77.665
33,32,77.665
33,202,9.747
202,33,9.747
33,20953,219.115
20953,33,219.115
34,35,139.12
35,34,139.12
34,15004,161.667
15004,34,161.667
34,15767,77.596
15767,34,77.596
35,36,112.135
36,35,112.135
35,11547,83.514
11547,35,83.514
35,15035,77.749
15035,35,77.749
36,8333,77.15
8333,36,77.15
36,8334,73.999
8334,36,73.999
36,37,195.053
37,36,195.053
37,38,196.17
38,37,196.17
37,6981,75.185
6981,37,75.185
37,6980,76.519
6980,37,76.519
38,11549,75.75
11549,38,75.75
38,13297,77.166
13297,38,77.166
39,40,121.8
40,39,121.8
39,13810,208.904
13810,39,208.904
39,13811,408.676
13811,39,408.676
41,23829,56.263000000000005
23829,41,56.263000000000005
42,21501,87.145
21501,42,87.145
42,23390,17.766
23390,42,17.766
42,15773,198.45
15773,42,198.45
43,44,143.461
44,43,143.461
44,9191,77.914
9191,44,77.914
44,22755,54.771
22755,44,54.771
45,46,63.438
46,45,63.438
45,13809,195.212
13809,45,195.212
45,1609,212.173
1609,45,212.173
46,9521,59.715
9521,46,59.715
46,1610,512.426
1610,46,512.426
47,48,265.965
48,47,265.965
48,15769,97.681
15769,48,97.681
48,10729,48.295
10729,48,48.295
49,50,60.14
50,49,60.14
50,9747,50.548
9747,50,50.548
50,9748,118.956
9748,50,118.956
51,52,92.083
52,51,92.083
51,13654,410.86899999999997
13654,51,410.86899999999997
51,9681,268.14199999999994
9681,51,268.14199999999994
51,13655,379.326
13655,51,379.326
52,53,92.893
53,52,92.893
52,15880,204.65
15880,52,204.65
52,13656,432.7649999999999
13656,52,432.7649999999999
53,16944,74.004
16944,53,74.004
53,54,92.47699999999999
54,53,92.47699999999999
54,55,219.109
55,54,219.109
54,2493,91.293
2493,54,91.293
54,10187,169.73000000000002
10187,54,169.73000000000002
55,7892,150.848
7892,55,150.848
55,10187,218.537
10187,55,218.537
56,13346,217.548
13346,56,217.548
56,57,477.69499999999994
57,56,477.69499999999994
56,16111,215.55599999999998
16111,56,215.55599999999998
58,59,98.351
59,58,98.351
58,16686,96.963
16686,58,96.963
58,18418,279.56399999999996
18418,58,279.56399999999996
59,16687,95.028
16687,59,95.028
59,18419,277.839
18419,59,277.839
59,60,138.483
60,59,138.483
60,16688,105.484
16688,60,105.484
60,19233,133.653
19233,60,133.653
61,62,140.798
62,61,140.798
61,4135,288.79600000000005
4135,61,288.79600000000005
61,7389,198.363
7389,61,198.363
61,8357,236.048
8357,61,236.048
62,63,309.73799999999994
63,62,309.73799999999994
62,12009,173.976
12009,62,173.976
63,21980,227.83
21980,63,227.83
63,5129,270.42900000000003
5129,63,270.42900000000003
64,19501,289.341
19501,64,289.341
64,9100,118.346
9100,64,118.346
64,4614,130.4
4614,64,130.4
65,66,298.428
66,65,298.428
65,11506,359.23
11506,65,359.23
65,11505,391.527
11505,65,391.527
66,67,107.71
67,66,107.71
66,11506,85.633
11506,66,85.633
66,11505,84.46
11505,66,84.46
68,69,298.893
69,68,298.893
68,7055,83.899
7055,68,83.899
68,7056,77.188
7056,68,77.188
69,968,82.466
968,69,82.466
69,967,88.852
967,69,88.852
70,71,104.886
71,70,104.886
70,12125,66.02199999999999
12125,70,66.02199999999999
70,11527,83.538
11527,70,83.538
72,73,38.166
73,72,38.166
72,13273,86.57799999999999
13273,72,86.57799999999999
72,13272,31.022000000000002
13272,72,31.022000000000002
73,4153,155.397
4153,73,155.397
73,7370,497.62899999999996
7370,73,497.62899999999996
74,75,40.835
75,74,40.835
74,257,155.257
257,74,155.257
74,258,126.043
258,74,126.043
75,76,55.839
76,75,55.839
75,21100,147.27499999999998
21100,75,147.27499999999998
76,77,33.847
77,76,33.847
76,10885,64.115
10885,76,64.115
77,10885,65.027
10885,77,65.027
77,23666,153.378
23666,77,153.378
78,79,22.412
79,78,22.412
78,20948,101.677
20948,78,101.677
78,14777,109.214
14777,78,109.214
80,19179,33.572
80,11841,1419.4180000000001
11841,80,1419.4180000000001
81,82,88.053
82,81,88.053
81,7858,140.102
7858,81,140.102
81,9525,74.171
9525,81,74.171
82,7857,123.462
7857,82,123.462
82,18918,167.082
18918,82,167.082
83,84,87.463
84,83,87.463
83,11494,294.452
11494,83,294.452
83,7945,113.599
7945,83,113.599
84,11492,275.505
11492,84,275.505
84,12332,38.620000000000005
12332,84,38.620000000000005
85,86,115.587
86,85,115.587
85,21303,39.915
21303,85,39.915
85,18790,289.78900000000004
86,18798,100.973
18798,86,100.973
87,131,93.294
131,87,93.294
87,18798,156.119
18798,87,156.119
87,18792,86.482
88,87,64.905
88,131,130.091
89,90,18.007
90,89,18.007
89,16848,133.11700000000002
16848,89,133.11700000000002
90,11572,131.865
11572,90,131.865
90,91,52.621
91,90,52.621
91,11208,99.56899999999999
11208,91,99.56899999999999
91,11207,176.82799999999997
11207,91,176.82799999999997
92,19002,29.683
19002,92,29.683
92,19000,468.68300000000005
92,18999,148.416
18999,92,148.416
93,6383,216.87599999999998
6383,93,216.87599999999998
94,18898,272.813
95,96,132.519
96,95,132.519
95,18894,74.54
18894,95,74.54
95,94,158.018
96,280,81.051
280,96,81.051
97,18730,375.471
97,19524,639.6070000000001
98,18888,334.405
98,18885,411.38800000000003
99,100,106.19299999999998
100,99,106.19299999999998
99,5075,76.785
5075,99,76.785
99,5074,78.691
5074,99,78.691
101,125,69.278
101,13578,178.814
13578,101,178.814
101,3353,234.838
3353,101,234.838
101,22730,89.94200000000001
22730,101,89.94200000000001
102,103,65.904
103,102,65.904
102,14385,684.4879999999999
14385,102,684.4879999999999
102,14519,129.92
14519,102,129.92
103,2188,65.275
2188,103,65.275
103,14519,80.875
14519,103,80.875
103,14386,346.3999999999999
14386,103,346.3999999999999
104,2751,349.537
