no,lng,lat,sites,hotel,name
0,-90.09633,34.992152,,N,
1,-89.8837748,34.994391,,N,
2,-89.866733,34.991102,,N,
3,-90.0080604,34.9942442,,N,
4,-90.024028,34.993602,,N,
5,-90.00928,34.99423,,N,
6,-90.0103444,34.9942166,,N,
7,-89.9190815,34.9914858,,N,
8,-89.936739,34.991556,,N,
9,-89.8716422,34.9944197,,N,
10,-89.8735486,34.9914014,,N,
11,-89.874248,34.988084,,N,
12,-89.873915,34.988102,,N,
13,-89.972147,34.991795,,N,
14,-89.95487,34.991675,,N,
15,-90.060779,34.9917789,,N,
16,-90.12845,34.993736,,N,
17,-90.128243,34.993572,,N,
18,-90.002093,34.989861,,N,
19,-89.861896,34.991291,,N,
20,-89.9013997,34.991493,,N,
21,-90.043034,34.99178,,N,
22,-89.7740942,35.1275376,,N,
23,-89.6305041,35.2136332,,N,
24,-89.9156935,35.1694199,,N,
25,-89.9138705,35.1693749,,N,
26,-90.0326149,35.0476657,,N,
27,-90.0312926,35.0478728,,N,
28,-89.8366708,35.1714736,,N,
29,-89.8353163,35.1715412,,N,
30,-89.8173401,35.1799929,,N,
31,-89.8128733,35.1793436,,N,
32,-90.0886816,35.005534,,N,
33,-90.0887997,35.0048577,,N,
34,-89.9861875,35.1217899,,N,
35,-89.9862525,35.1205399,,N,
36,-89.9863208,35.119533,,N,
37,-89.9864014,35.1177801,,N,
38,-89.9864807,35.1160171,,N,
39,-89.9872765,35.1115249,,N,
40,-89.9873435,35.1104309,,N,
41,-89.9847481,35.1299316,,N,
42,-89.9859099,35.1291792,,N,
43,-89.9873355,35.1098669,,N,
44,-89.9873615,35.1085769,,N,
45,-89.9871638,35.1129977,,N,
46,-89.9871934,35.1124277,,N,
47,-89.9859105,35.1283569,,N,
48,-89.9860265,35.1259669,,N,
49,-89.9103477,35.2030885,,N,
50,-89.9096858,35.2030885,,N,
51,-89.899288,35.06405,,N,
52,-89.8982764,35.0640359,,N,
53,-89.8972561,35.0640144,,N,
54,-89.8962554,35.0638845,,N,
55,-89.893849,35.0638274,,N,
56,-90.0988267,35.0060912,,N,
57,-90.0988367,35.0017952,,N,
58,-89.8946345,35.1555149,,N,
59,-89.8945985,35.1563989,,N,
60,-89.8943938,35.1575938,,N,
61,-89.8625884,35.1186705,,N,
62,-89.861077,35.1186701,,N,
63,-89.8581934,35.1194135,,N,
