start,end,length
0,26268,254.70900000000006
0,41789,767.7999999999998
1,42185,259.67400000000004
1,42183,291.83900000000006
2,43194,433.1479999999999
2,43189,552.424
3,1015,86.25800000000001
1015,3,86.25800000000001
3,4,138.033
4,3,138.033
4,1735,86.149
1735,4,86.149
4,1016,85.611
1016,4,85.611
4,5,134.771
5,4,134.771
5,1736,85.99
5,6,271.351
6,5,271.351
6,1018,86.109
6,44935,199.796
44935,6,199.796
7,44935,22.088
44935,7,22.088
7,8,55.925
8,7,55.925
7,437,93.39999999999999
8,9,142.26
9,8,142.26
8,829,85.583
829,8,85.583
9,1019,85.181
11,2156,81.61999999999999
12,44921,17.096
12,414,86.20899999999999
13,12,105.43299999999999
13,807,80.922
807,13,80.922
13,806,86.554
806,13,86.554
14,13,127.99300000000001
14,62,87.48
62,14,87.48
14,2105,82.185
2105,14,82.185
15,2324,267.007
2324,15,267.007
15,243,249.0
15,504,153.18399999999997
504,15,153.18399999999997
15,54592,29.606
54592,15,29.606
16,17,239.745
16,2323,201.183
2323,16,201.183
17,18,127.58500000000001
18,50469,215.27400000000003
18,2773,90.62
19,121,80.763
121,19,80.763
19,1310,80.571
1310,19,80.571
20,1663,80.824
20,19,273.332
21,20,271.735
21,2157,81.107
22,44937,16.91
23,22,109.255
23,809,80.699
809,23,80.699
23,810,80.27499999999999
810,23,80.27499999999999
24,23,215.284
24,1665,89.457
1665,24,89.457
24,2104,88.052
2104,24,88.052
25,789,101.449
789,25,101.449
25,788,127.633
788,25,127.633
26,43621,263.17999999999995
43621,26,263.17999999999995
26,2178,96.326
2178,26,96.326
26,1844,171.363
1844,26,171.363
27,28,83.201
28,27,83.201
27,43621,22.926000000000002
43621,27,22.926000000000002
27,45615,246.774
28,2292,171.551
2292,28,171.551
28,45230,244.92499999999998
45230,28,244.92499999999998
29,30,311.31399999999996
29,1746,76.599
30,963,41.435
31,34,27.203
34,31,27.203
32,31,55.69299999999999
33,32,78.949
33,2379,77.993
2379,33,77.993
33,35,23.061
34,274,66.408
274,34,66.408
34,35,129.856
35,49792,162.38
36,51948,79.923
37,44948,21.559
37,398,93.688
38,37,156.643
38,45050,79.99000000000001
39,53032,78.783
39,48674,80.347
48674,39,80.347
40,39,275.73099999999994
40,49148,99.1
49148,40,99.1
40,793,79.61399999999999
793,40,79.61399999999999
40,46677,79.18499999999999
46677,40,79.18499999999999
41,42,274.107
41,854,81.183
854,41,81.183
