no,lng,lat,sites,hotel,name
0,-73.7946273,40.7864093,,N,
1,-73.7570906,40.7624294,,N,
2,-73.7441643,40.7534671,,N,
3,-73.9600437,40.7980478,,N,
4,-73.9614745,40.7986542,,N,
5,-73.9628734,40.7992437,,N,
6,-73.9656909,40.8004295,,N,
7,-73.9679955,40.8013981,,N,
8,-73.9685741,40.8016452,,N,
9,-73.9700504,40.8022679,,N,
10,-73.9750067,40.7826383,,N,
11,-73.9778254,40.783828,,N,
12,-73.9795827,40.7845691,,N,
13,-73.9806732,40.7850352,,N,
14,-73.9820041,40.7855915,,N,
15,-73.9313239,40.8593291,,N,
16,-73.930122,40.858744,,N,
17,-73.927625,40.859012,,N,
18,-73.926786,40.859944,,N,
19,-73.9703125,40.7839869,,N,
20,-73.9731496,40.7851818,,N,
21,-73.9759753,40.7863627,,N,
22,-73.9776927,40.7870877,,N,
23,-73.9788225,40.7875711,,N,
24,-73.9810702,40.788486,,N,
25,-73.976212,40.725326,,N,
26,-73.9568234,40.8126219,,N,
27,-73.9598214,40.8138307,,N,
28,-73.9606929,40.814184,,N,
29,-73.9959291,40.7328569,,N,
30,-73.9991816,40.7341463,,N,
31,-74.0087265,40.7042693,,N,
32,-74.008386,40.7038639,,N,
33,-74.0077746,40.7033264,,N,
34,-74.0089696,40.7041084,,N,
35,-74.0079952,40.7032048,,N,
36,-73.9810586,40.7692956,,N,
37,-73.982236,40.7697925,,N,
38,-73.9838597,40.7704797,,N,
39,-73.986677,40.7716605,,N,
40,-73.9895402,40.7728633,,N,
41,-73.9679404,40.787235,,N,
42,-73.9707862,40.7884325,,N,
43,-73.9736025,40.7896131,,N,
44,-73.9751294,40.7902583,,N,
45,-73.9764487,40.7908218,,N,
46,-73.978619,40.7917878,,N,
47,-74.0157971,40.7115871,,N,
48,-74.0143969,40.7110047,,N,
49,-74.0116583,40.7096669,,N,
50,-74.0105706,40.7091731,,N,
51,-74.009371,40.708614,,N,
52,-74.008269,40.7077219,,N,
53,-73.9333873,40.8016439,,N,
54,-73.9337706,40.8021471,,N,
55,-73.9328935,40.8021545,,N,
56,-74.00742,40.748197,,N,
57,-74.0027542,40.7062566,,N,
58,-74.001657,40.7094916,,N,
59,-73.9827522,40.7879993,,N,
60,-73.9311515,40.8007075,,N,
61,-73.9736517,40.7381466,,N,
62,-73.9826519,40.7849764,,N,
63,-73.9721346,40.7456709,,N,
64,-73.9749735,40.7460881,,N,
65,-73.9757407,40.7163982,,N,
66,-73.9748036,40.718847,,N,
67,-73.9853322,40.7835314,,N,
68,-73.9337078,40.8442415,,N,
69,-73.932313,40.846152,,N,
70,-73.9326159,40.8026802,,N,
71,-73.9329255,40.8033683,,N,
72,-73.9334099,40.802694,,N,
73,-73.9775923,40.7132542,,N,
74,-73.9777769,40.7124667,,N,
75,-73.9814926,40.71075,,N,
76,-74.006113,40.7237914,,N,
77,-74.007029,40.724504,,N,
78,-73.9747151,40.721087,,N,
79,-73.9645095,40.7589831,,N,
80,-73.9640002,40.7596426,,N,
81,-73.960551,40.7595738,,N,
82,-73.979076,40.766876,,N,
83,-73.9619964,40.7620775,,N,
84,-73.9738156,40.738339,,N,
85,-73.998505,40.7587817,,N,
86,-73.9969538,40.7593876,,N,
87,-73.9992001,40.7588687,,N,
88,-73.996857,40.7577291,,N,
89,-73.9437833,40.7828748,,N,
90,-73.9856862,40.780311,,N,
91,-73.9643559,40.7606212,,N,
92,-73.9318124,40.7944866,,N,
93,-73.9322765,40.793757,,N,
94,-73.9484005,40.769641,,N,
95,-73.9491341,40.7687032,,N,
96,-73.9950304,40.7693848,,N,
97,-73.9735934,40.7794865,,N,
