place,lng,lat
The Art Institute of Chicago,-87.62308280420407,41.8796009
Lincoln Park Conservatory,-87.63563999999997,41.92378000000008
Frank Lloyd Wright's Robie House,-87.59594297390242,41.78982301232861
Lookingglass Theatre Company,-87.62339999999995,41.89718000000005
Lincoln Park,-87.63585178000523,41.9196663
Oriental Institute Museum,-87.5980200095093,41.78958999542036
United Center,-87.67418510441388,41.88068305
Maggie Daley Park,-87.61948534505744,41.88429311827275
The Chicago Theatre,-87.62730999999997,41.88539000000003
Holy Name Cathedral,-87.62759944354698,41.89595745
The Loop,-87.62720797566101,41.87295598530815
Chicago Skyline,-87.6903121,41.9833477
Buckingham Fountain,-87.62625499999996,41.86925500000007
Garfield Park Conservatory,-87.7185795035983,41.886827
Lakefront Trail,-87.61512797680457,41.892441018434454
Chicago River,-87.6203156,41.888576
Shedd Aquarium,-87.61362300608941,41.867620987756
Navy Pier,-87.60414466382959,41.89179985
Richard H. Driehaus Museum,-87.6265031,41.8942846
Chicago Cultural Center,-87.6249741954571,41.883775150000005
Chicago Riverwalk,-87.62721464071875,41.8872319
Lincoln Park Zoo,-87.63376980451716,41.921264750000006
360 Chicago Observation Deck,-87.62406999999996,41.89866000000006
Field Museum,-87.61698999999999,41.86620000000005
Skydeck Chicago - Willis Tower,-87.63580403646259,41.87877101445514
The Magnificent Mile,-87.6231232,41.8987719
Wrigley Field,-87.65635154722081,41.94813535
Cloud Gate,-87.62244999999996,41.88426000000004
Museum of Science and Industry,-87.58293048227472,41.79076255
Millennium Park,-87.62244999999996,41.88426000000004
University of Chicago,-87.60084387193544,41.79139685
Picasso Statue,-87.63025697676011,41.88409000257221
The Peggy Notebaert Nature Museum,-87.63542140865528,41.9269829
Water Tower Place,-87.62235205597118,41.89786475
CIBC Theatre,-87.6285598,41.8809687
Macy's on State Street,-87.62731899999994,41.884179000000074
Chicago Children's Museum,-87.6092029,41.891472
Soldier Field,-87.61666999999994,41.862340000000074
James M. Nederlander Theatre,-87.6288009,41.8848416
Harold Washington Library Center,-87.62819830000001,41.87630885
Guaranteed Rate Field,-87.63256264837347,41.8300162
Holy Trinity Orthodox Cathedral,-87.68176999999997,41.90205700000007
Adler Planetarium,-87.61956996639239,41.86565999959859
Engine 18 Chicago Fire,-87.65597120016068,41.86448215
Wrigley Building,-87.62482999999997,41.88976000000008
Union Station,-87.6388149,41.8793773
National Museum of Mexican Art,-87.6729811970194,41.85611385
Graceland Cemetery,-87.66188199999993,41.954593000000045
Goose Island Beer Co.,-87.67229899999995,41.88711500000005
Tribune Tower,-87.62367299422614,41.89037385
Goodman Theatre,-87.62948999999998,41.885200000000054
Michigan Avenue Bridge,-87.6242019737252,41.8878859988823
Grant Park,-87.61948534505744,41.88429311827275
The Rookery Building,-87.63231999999994,41.87916000000007
Lyric Opera of Chicago,-87.63705999999996,41.88253000000003
American Writers Museum,-87.62448999999998,41.88552000000004
Crown Fountain,-87.62244999999996,41.88426000000004
Medieval Torture Museum,-87.62759002280775,41.88548898412171
Chicago Shakespeare Theater on Navy Pier,-87.60822999999993,41.892120000000034
Calder’s Flamingo,-87.62926511529368,41.87951880493421
The McCormick Bridgehouse & Chicago River Museum,-87.62456117625695,41.88805165236159
Marina City,-87.62814999999995,41.88793000000004
The Escape Game Chicago,-87.6265912,41.8934081
Chagall's Four Seasons,-87.62942999999996,41.88187000000005
Pilsen,-87.64637101797683,41.857126006790025
Merchandise Mart,-87.6353820076377,41.88874501822923
Willie Dixon's Blues Heaven Foundation,-87.6240618,41.8536162
International Museum of Surgical Science,-87.62694466983459,41.91015385
Rockefeller Memorial Chapel,-87.59704908455464,41.788457550000004
Andersonville,-87.66756944823973,41.97996485
Ohio Street Beach,-87.61428695746903,41.890549998213785
Chicago Board of Trade Building,-87.63227999999998,41.87747000000007
