place,lng,lat
Graceland,-90.025686,35.048273
Big River Crossing,-90.0526264,35.1456981
Old Dominick Distillery,-90.058339,35.138528
Slave Haven / Burkle Estate Museum,-90.043188971487,35.164614988102
Stax Museum of American Soul Music,-90.0312811,35.1156794
Memphis Rock 'n' Soul Museum,-90.051733,35.1383273
Memphis Zoo,-89.9943915,35.1500878
National Civil Rights Museum - Lorraine Motel,-90.0576071,35.1347154
Sun Studio,-90.037717,35.139319
Bass Pro Shops at the Pyramid,-90.051773,35.155751
