place,lng,lat
The Roosevelt Island Tramway,-73.96434998790005,40.760610001515886
The Museum of Modern Art (MoMA),-73.97719999999998,40.761010000000056
The National 9/11 Memorial & Museum,-74.01234999999997,40.71130000000005
Gulliver's Gate,-73.98694416228074,40.75761200429761
Chelsea Market,-74.0048973,40.7420513
Greenwich Village,-74.01164001506363,40.712719997723
American Museum of Natural History,-73.97238999999996,40.781930000000045
Madison Square Garden,-73.99423999999993,40.750050000000044
Broadway,-73.909055,40.682105
Times Square,-73.98638255,40.7565143
St. Patrick's Cathedral,-73.97720003220122,40.758540006707676
Ellis Island,-74.01432693163531,40.70286379571632
The Oculus,-74.01548070036083,40.71435986682268
"Intrepid Sea, Air & Space Museum",-73.99871000740617,40.764319999499406
New York Public Library,-73.98168999999996,40.75243000000006
Staten Island Ferry,-74.01305535394461,40.70096425
Bryant Park,-73.98088002297136,40.75348001939872
Radio City Music Hall,-73.98002999999994,40.76036000000005
Rockefeller Center,-73.97785999999996,40.758500000000026
The Met Cloisters,-73.93108999999998,40.865090000000066
Grand Central Terminal,-73.9771792,40.7528064
One World Observatory,-74.01387999999997,40.713130000000035
Manhattan Skyline,-73.97834025645211,40.76317937059591
The High Line,-74.00473777742985,40.74798487753836
Brooklyn Bridge,-74.00296593556457,40.706425390795815
Statue of Liberty,-74.04444999999998,40.68925000000007
Top of the Rock,-73.97873999999996,40.758800000000065
Empire State Building,-73.98477018787328,40.74846219914022
The Metropolitan Museum of Art,-73.96338248033601,40.7794396
Christmas Spectacular Starring the Radio City Rockettes,-73.98003319929356,40.76011676842353
Central Park,-73.97288273636447,40.76448998279874
Lincoln Center for the Performing Arts,-73.9820600273004,40.77216998709932
Kings County Distillery,-73.98019499999998,40.699654000000066
Majestic Theatre,-73.98750067698997,40.75803954895598
SeaGlass Carousel at The Battery,-74.01730852854313,40.706849354648426
Neue Galerie,-73.96023744000465,40.78122365
Museum of Jewish Heritage,-74.01791999999995,40.70539000000008
Whitney Museum of American Art,-74.00892095028976,40.73964505
Macy's Herald Square,-73.98925506526803,40.75088945
Woolworth Building,-74.00778999999994,40.712410000000034
One World Trade Center,-74.01317789379428,40.71301605
Spyscape,-73.98371344152079,40.76519247180093
New-York Historical Society Museum & Library,-73.97362999999996,40.77943000000005
Apollo Theater,-73.94999478832457,40.810089500000004
World Trade Center Memorial Foundation,-74.01254186808926,40.7109508630054
Roosevelt Island,-73.95089887732216,40.761029767226916
Ground Zero Museum Workshop,-74.00664490368527,40.74132517014692
Flatiron Building,-73.98966999999993,40.740980000000036
West Village,-74.00468102377125,40.73478011914287
Washington Square Park,-73.99959999788534,40.73103998821742
Rockefeller Center Christmas Tree,-73.97785999999996,40.758500000000026
United Nations Headquarters,-73.96914686726832,40.74871503317203
Tenement Museum,-73.9900266,40.7187837
The Morgan Library & Museum,-73.98168999999996,40.749460000000056
Fifth Avenue,-73.98118169816303,40.7539205
Chrysler Building,-73.97535999999997,40.751630000000034
SoHo,-74.14767278160787,40.621591674311105
The Vessel,-74.00313999999997,40.75419000000005
Ellis Island Immigration Museum,-74.01433999999995,40.70285000000007
Frick Collection,-73.96718999999996,40.77127000000007
Harlem,-73.81352732818391,40.76174438612986
Friends Building,-74.00550094153988,40.73268355370158
Madame Tussauds New York,-73.98843804512987,40.7562126
Bloomingdale's,-73.96726499999994,40.76227200000005
Upper West Side,-73.9327786362966,40.84553179904997
Columbia University,-73.96041999999994,40.806520000000035
"Strawberry Fields, John Lennon Memorial",-73.9639700362291,40.77116000967621
Beacon Theatre,-73.98129999999998,40.78049000000004
Sea Glass Carousel,-74.01444996428417,40.703169992521026
World Trade Center's Liberty Park,-74.01281999999998,40.71019000000007
Union Square Green Market,-73.98675499999996,40.73562800000008
Grand Central Market,-73.97723999999994,40.752740000000074
World Trade Center Station (PATH),-74.01170840570622,40.7128228314183
Minskoff Theatre,-73.9862053,40.758063
Lyric Theatre,-73.98730047698473,40.75696165243022
Brookfield Place,-74.01530760061709,40.714063532982976
Saks Fifth Avenue,-73.97694999,40.758022800000006
Museum of Ice Cream,-73.9979055,40.7238654
GhostBusters Firestation,-74.00675644882449,40.719724849727506
Union Square,-74.00767001044362,40.71252000551323
Trinity Church,-74.01170002949037,40.707760006518924
St. Patrick's Old Cathedral,-73.99520199999995,40.72357500000004
Museum of the City of New York,-73.95226999999994,40.79265000000004
New Amsterdam Theater,-73.98806312043041,40.75599995
Lower Manhattan,-74.00086817983578,40.72081846684256
Hudson River Park,-74.00847948251169,40.74618171514525
Macy's Thanksgiving Day Parade,-73.98939999999999,40.75049000000007
Gershwin Theater,-73.98348686479966,40.762760372297954
Museum at Eldridge Street,-73.99067000206125,40.7145299858947
St. Paul's Chapel,-74.00892999999996,40.71109000000007
Manhattan Bridge,-73.98469999152455,40.71071001734151
Riverside Park,-73.96401772925817,40.81094735339795
Stone Street Historic District,-74.01041999999995,40.704270000000065
Little Italy,-73.99787999999995,40.71828000000005
National Museum of the American Indian,-74.01402999999993,40.70449000000008
Hayden Planetarium,-73.97238999999996,40.781930000000045
Chinatown,-73.99979360881699,40.71719366411221
The Jewish Museum,-73.95718268280334,40.7854097
New World Stages,-73.9875604858187,40.7627588
St. Thomas Church,-73.97659527788711,40.76086057851131
Merchant's House Museum,-73.99234229217802,40.7276594
Westfield World Trade Center,-74.01164249076538,40.71093215
Richard Rodgers Theatre,-73.98674788284762,40.7590309
Solomon R. Guggenheim Museum,-73.95887999999997,40.78294000000005
42nd Street,-73.99045746405108,40.75628215
Jazz at Lincoln Center,-73.98220997954822,40.76894002071066
Governors Island National Monument,-74.01201999999995,40.701310000000035
KGB Espionage Museum,-74.00149967242102,40.739518953831634
Rubin Museum of Art,-73.9977377,40.7400959
Times Square Church,-73.98368499999998,40.76253600000007
Madison Square Park,-73.98660000133636,40.7427700007068
Chelsea,-73.9968175,40.7443742
Color Factory,-74.0054663,40.7257695
Winter Garden Theatre,-73.98350453470516,40.7616856
Broadway Theatre,-73.98335504506701,40.76339815
Conservatory Garden,-73.95160002352279,40.79361001532229
Bethesda Fountain,-73.96583999999996,40.78392000000008
Cathedral Church of Saint John the Divine,-73.96188799999999,40.80383800000004
Fort Tryon Park,-73.92698104113339,40.864977009053895
Meatpacking District,-74.00850853517419,40.7413429094301
Wall Street,-74.01198070436686,40.7072981
The Shops & Restaurants at Hudson Yards,-74.0004353383558,40.753164817929814
Gerald Schoenfeld Theatre,-73.98743774010278,40.75848585
Penn Station,-73.99486003163963,40.750289992778704
Columbus Circle,-73.98153498488549,40.76779000264024
Alice in Wonderland Statue,-73.96515004055814,40.775039992656104
Herald Square,-73.98791998344842,40.749849984771515
Ripley's Believe It or Not! Times Square,-73.98850783393843,40.756466
Park Avenue,-77.5930898,43.1514026
Hudson Theatre,-73.98447999999996,40.75710500000008
Trump Tower,-73.97397599999994,40.76238100000006
The Shops at Columbus Circle,-73.98313599999994,40.76814100000007
Lunt-Fontanne Theatre,-73.98590151622378,40.759166199999996
The Met Breuer,-73.96401001790726,40.77372998500883
Museum of Sex,-73.98760999999996,40.744200000000035
St Joseph's Chapel Catholic Memorial at Ground Zero,-74.01652280893946,40.71160872499999
Shubert Theatre,-73.98725639341359,40.75814475
Bethel Gospel Assembly,-73.94335199999995,40.80232600000005
St James Theatre,-73.98815839177944,40.75798445
Al Hirschfeld Theatre,-73.98921084892254,40.75925315
Century 21,-74.01069101598611,40.71023178785583
Charging Bull (Wall Street Bull),-74.01315470878647,40.705665033639264
