place,address
The Art Institute of Chicago,"111 S Michigan Ave, Chicago, IL 60603-6110"
Lincoln Park Conservatory,"2391 N Stockton Dr At Stockton Dr., Chicago, IL 60614-3419"
Frank Lloyd Wright's Robie House,"5757 S Woodlawn Ave, Chicago, IL 60637-1698"
Lookingglass Theatre Company,"821 N Michigan Ave, Chicago, IL 60611-2102"
Lincoln Park,"2045 N Lincoln Park W, Chicago, IL 60614-4707"
Oriental Institute Museum,"1155 E 58th St Southeast corner of 58th St and University Ave, east of the University Quadrangle, Chicago, IL 60637-1540"
United Center,"1901 W Madison St, Chicago, IL 60612-2459"
Maggie Daley Park,"337 East Randolf Street, Chicago, IL 60601-7403"
The Chicago Theatre,"175 N State St, Chicago, IL 60601-3623"
Holy Name Cathedral,"735 North State Street, Chicago, IL 60654-3835"
The Loop,"701 S State St, Chicago, IL 60605-2108"
Chicago Skyline, 
Buckingham Fountain,"Grant Park, Chicago, IL 60605"
Garfield Park Conservatory,"300 N Central Park Ave, Chicago, IL 60624-1996"
Lakefront Trail,"540 N Lake Shore Dr, Chicago, IL 60611-3414"
Chicago River, 
Shedd Aquarium,"1200 S. Lake Shore Drive, Chicago, IL 60605-2490"
Navy Pier,"600 E Grand Ave, Chicago, IL 60611-3419"
Richard H. Driehaus Museum,"40 E Erie St, Chicago, IL 60611-2730"
Chicago Cultural Center,"78 E Washington St, Chicago, IL 60602-4801"
Chicago Riverwalk, 
Lincoln Park Zoo,"2001 N Clark St, Chicago, IL 60614-4757"
360 Chicago Observation Deck,"875 N Michigan Avenue 94th Floor, Chicago, IL 60611-1803"
Field Museum,"1400 S Lake Shore Dr, Chicago, IL 60605-2827"
Skydeck Chicago - Willis Tower,"233 S Wacker Drive entrance on Jackson Blvd (south side of building), Chicago, IL 60606-7147"
The Magnificent Mile,"North Michigan Avenue, Chicago, IL 60611"
Wrigley Field,"1060 W. Addison St., Chicago, IL 60613-4566"
Cloud Gate,"201 E. Randolph St. Millenium Park, Chicago, IL 60601-6530"
Museum of Science and Industry,"5700 S. Lake Shore Dr, Chicago, IL 60637-2093"
Millennium Park,"201 East Randolph Street, Chicago, IL 60601-6530"
University of Chicago,"5801 S Ellis Ave, Chicago, IL 60637-5418"
