place,categories,user code,title,review,rating,date
Graceland,"Museums, Sights & Landmarks",Courts0890,Loved it, ,50,September 2023
Graceland,"Sights & Landmarks, Museums",Gracie696969,Wanted to visit for so long,"Wow been waiting over 40 years to visit, didn’t disappoint. Booked ultimate tour and we were first so the house was empty except us and our guide for quite some time. House is so Elvis those that adore him know the rooms, they were smaller than I thought but it fitted just amazing, the racquet ball course and music was emotional then followed by the graves. The tour was three hours we got separate bus just for us, our guide Bobby was great. We got to handle Elvis cape and a TCB ring. The tour after the house included another two Hours with Bobby over at the exhibits. Lunch included in the ticket at Vernon’s which was a nice meal and break. We then spent another 3-4 hours going round everything still to see. Negative was some of the staff were indifferent and not friendly which takes some shine off when you are so excited to visit.",50,August 2024
Graceland,"Sights & Landmarks, Museums",M C,Memorable...bucket list wish fulfilled...,I love Elvis even more after visiting Graceland and the exhibit center. My 13 year old girls both loved it. Went for the candlelight vigil also... great moment...,50,August 2024
Memphis Zoo,"Zoos & Aquariums, Outdoor Activities, Nature & Parks",Lauren L,The.  Perfect.  Day.,"We've been before, but only with 8 kids in tow.  We went solo this time around.  The day was slightly cloudy & drizzly so there weren't many people there (it helped that it was Friday so most people were at work/school).  The dinosaur exhibit was open & that was a nice surprise!  We were able to just stroll around & take our time & be sweet.  It was very relaxing, in contrast to taking the kids haha.  Loved seeing all the exhibits & most of the animals were out.  There was a service dog & the lionesses tried to hunt it, which was crazy to witness so close.  Would 10/10 recommend.",50,March 2024
Graceland,"Sights & Landmarks, Museums",dahlia8,Confrontational and Aggressive Tour Guide,Shoutout to our driver Rex! He was the superstar of the tour!,20,August 2024
Graceland,"Museums, Sights & Landmarks",JoanneD219,Excellent tour and excellent tour guide,"John B was our tour guide for the ultimate vip tour. He was extremely knowledgeable about Elvis’s life and career. He had multiple stories behind the exhibits and we couldn’t stump him on questions!  The archive experience where we were up close with Elvis’s personal items (i.e., cape from his butterfly jumpsuit, TCB ring, onyx ring, leather belt, and others) was beyond our expectations. John gave us the background of every item. If you take a tour, ask for John. You won’t be disappointed.",50,August 2024
Graceland,"Museums, Sights & Landmarks",cliff_taylor2,Worth the visit,"Enjoyed the tour, parking over the road only opened minutes before our tour time so felt a bit rushed, really enjoyed the walk through the house itself, I am not an Elvis fan at all but still enjoyed it. The exhibits opposite were OK but I felt like they had grabbed anything they could to pad out the exhibits. Glad we went.",40,July 2024
Graceland,"Museums, Sights & Landmarks",TammyWilts,VIP ticket well worth the money, It's well worth it. We were there 6 hours so make sure you spend the day so you can see everything ,50,August 2024
Memphis Zoo,"Zoos & Aquariums, Outdoor Activities, Nature & Parks",944derekn,WELL worth the trip and price,"I've lived here almost my entire life since I was a kid in the 80's and have watched this thing grow to epic proportions.  I'm not just giving this zoo an excellent rating because I live here, I'm giving it that because I've been to many other zoos and this is by far the best one in the whole of the American south.  It's well worth the price of admission.  It's a lot of walking because it's so big however there are trams that ride through every part of the park you can hop on.  The keepers are great people too (I did my scuba certification class along with three of them that needed it for their jobs in the park, one of which was a girl that worked with the seals).  I go two to three times a year.  I've taken dates, family, friends, and co-workers and we've always had a good time.",50,August 2023
National Civil Rights Museum - Lorraine Motel,"Sights & Landmarks, Museums",Sue M,Fascinating museum,So worth a visit.,50,May 2024
Sun Studio,"Sights & Landmarks, Historic Sites",Claire L,Well worth a visit,"Highly recommend a visit here , our guide was great loved seeing all the authentic equipment that legends have played on , it's a great experience ",50,August 2024
Bass Pro Shops at the Pyramid,"Shopping, Gift & Specialty Shops",TwinCreek,Bass Pro on steroids.  GREAT experience,"Bass pro on steroids.  After wandering around the amazing shopping area we stood in line for about 5 minutes for the elevator to the observation deck.  Be aware there is an $8 pp charge for adults, and a lesser charge for children.  Best viewing is at the river side of the deck through the dining area.  We had a po boy sandwich with fries which was great.  All staff were gracious, friendly and polite.  But BIG kudos to Toi, who helped take our food order while seated at the bar.  She went above and beyond with helping serve our party of 12 to include taking many group pictures, which was like herding cats.  We shared contact information should she ever travel to our home state.  Thank you , Toi, for making our visit more special.  Great staff and food.  Glad we made the trip.",50,June 2024
Graceland,"Museums, Sights & Landmarks",RocketDan1,Wonderful visit,PS -  the PBB sandwhich with the bacon grease was money well spent!,50,July 2024
Memphis Zoo,"Zoos & Aquariums, Outdoor Activities, Nature & Parks",Tony R,Nice zoo,Great day at the zoo. Spent about 4 to five hours at the zoo lots to see very clean lots of different animals but not many of each. There where many indoor exhibits which was good way to get out of the heat.,50,July 2023
Stax Museum of American Soul Music,"Museums, Sights & Landmarks",Patricia_Luz_Moreira,Learning about soul music makes my happy soul!,"Amazing experience to learn more about soul music. I was always curious to learn more about how soul music was born and to get the chance to visit such a place was really a blessing. So much talent, so much joy and soul. A really must go place when visiting Memphis",50,October 2023
Stax Museum of American Soul Music,"Museums, Sights & Landmarks",W3870AQpauliner,Stax giving it big stacks !!,"So full of information and memorabilia -  but so insightful and loved all the artifacts.  Such cool outfits, discs, and the car !! We loved it. ",50,October 2023
Sun Studio,"Sights & Landmarks, Historic Sites",Jessica Y,Definitely Worth Visiting,"Sun Studio is definitely a MUST if visiting Memphis.  Josh H. was the most amazing tour guide!  He was so knowledgeable, energetic, and fun.  We would recommend asking for him if you plan on visiting.  He will not disappoint!",50,July 2024
Sun Studio,"Sights & Landmarks, Historic Sites",nancyr208,Graceland Gals trip,"This place was amazing.  The size was small but very welcoming.  The history of the building, the owner, and all the great musicians that recorded there was so very interesting.  Our tour guide, Josh H. Was the best.  Very knowledgeable and you could tell how much he loves what he does.  Definitely a place to check our when in Memphis!",50,July 2024
Graceland,"Sights & Landmarks, Museums",satansniece,Get a better staff,Also be prepared to pay for parking.,20,July 2024
Graceland,"Museums, Sights & Landmarks",Joan M,Take a VIP Tour with John,"We celebrated a birthday on tour at Graceland with the first tour of the day and our guide, John was outstanding. So many good stories and so knowledgeable. Highly recommended!  Thank you to John for making our day special.",50,July 2024
Big River Crossing,"Sights & Landmarks, Bridges",clpayne,Great way to spend an afternoon!,Well worth visiting Big River Crossing while in Memphis!,50,April 2021
Slave Haven / Burkle Estate Museum,"Museums, Sights & Landmarks",bricecordellj,Do NOT waste your money,"Terrible! The staff was WAY too intense about our placement in the room to then leave us with a recording. The material presented was everything we already know about the slave trade. I would have loved to hear about the actual house and the family who risked everything to help free strangers from their oppression! Please research not only the family but any slaves who passed through and what they were able to accomplish when they gained their freedom! Also, skip the political rhetoric! Pushing division does no good! I would have given a 0 but TripAdvisor wouldn't let me!",10,June 2022
Memphis Rock 'n' Soul Museum,"Museums, History Museums, Specialty Museums",Jan S,Great Place,"Really enjoyed my visit here, very informative with some great music too.  You are given headphones and can go around at your own pace, loved walking round looking taking it all in.  If you love Rock & Soul it's well worth a visit!",50,April 2023
Stax Museum of American Soul Music,"Sights & Landmarks, Museums",Wendy C,Music History! ,This is a must do for music lovers! A treasure of history!! A close drive from town and easily done in 1.5 hours. Check it out! ,50,September 2023
Stax Museum of American Soul Music,"Sights & Landmarks, Museums",cruzfool2005ft,Really well executed overview of Memphis music,This was our first stop during our visit to Memphis and it gave a really informative overview of the history of music in this area.  I'd say its a must do while visiting to give you a background and understanding of the city and the music,50,September 2023
Sun Studio,"Sights & Landmarks, Historic Sites",Niven V,Musicians must go here!,"Lydia is an awesome tour guide. My family traveled from Australia to see Sun Studios. Lydia is funny and knowledgeable. This tour is a must for musicians, audio engineers and music enthusiasts.",50,July 2024
Sun Studio,"Sights & Landmarks, Historic Sites",Amy M,A must visit museum in Memphis!,Our visit at Sun studio today was fantastic! It was full of interesting anecdotes which really set us in the period of the studio's heyday. Our tour guide Lydia was extremely knowledgeable. Thank you for an unforgettable experience!,50,July 2024
Graceland,"Museums, Sights & Landmarks",1960TN,Love every minute ,"We love the free walkup every morning from 7:30-8:30. Took the complete tour of house, museums and planes. Enjoyed everything. Take your time. Take photos. Very nice. ",50,June 2024
Old Dominick Distillery,"Food & Drink, Distilleries",Sharon S,"Great bar and cocktails, recommend the tour","Highly recommend the tour if you're into history and learning about the distillery itself, and if not, definitely go to the bar, try a couple cocktails and make sure you get some chicken from Gus's across the street when you're there.",50,April 2022
Slave Haven / Burkle Estate Museum,"Sights & Landmarks, Museums",782vicentef,Potential Unfulfilled,"This is an example of potential unfulfilled. The residence is a historic example of a safe house in the underground railway. The museum requires more focus and research. It should be a small museum with depth on the subject of the underground railway. Instead, it is small general museum on slavery in the United States, going over well-trodden subjects in a rather shallow fashion. It is surprisingly short on research of the safe house, its inhabitants and how did it fit in the larger scheme of the underground railway. Thus, there is not much information as to what drove the Burkle family into risking their lives to operate the safe house. There is not even a simple family genealogy depicting what happened to the different family members during and after the civil war. Basic research would include perusing census data, property rolls, tax and business records, among others.",20,October 2021
Stax Museum of American Soul Music,"Museums, Sights & Landmarks",paulsH525UC,Great for Soul music buffs,"If you love American Soul music, Southern or Memphis style, then this is the place for you. Not a large museum but full of history and artifacts. And they did a nice job restoring the recording studio back to its original luster. ",40,September 2023
Stax Museum of American Soul Music,"Museums, Sights & Landmarks",cbritt22017,Worth your time to breathe Soul history!,I appreciated the video at the beginning as it sat the stage for the history shared.  It’s not a huge museum but so much packed in.  The tour culminates in the recording room where the magic happened.  Well worth the small adult fee to experience and listen to the golden age of soul especially in a nice air conditioned space out of the heat of Memphis in July.,50,July 2023
