place,address
The Roosevelt Island Tramway,"59th Street and Second Avenue Tramway Plaza, New York City, NY 10022"
The Museum of Modern Art (MoMA),"11 West 53rd Street, New York City, NY 10019-5401"
The National 9/11 Memorial & Museum,"180 Greenwich St World Trade Center, New York City, NY 10007-0089"
Gulliver's Gate,"216 W 44th St Located between 7th and 8th avenue, New York City, NY 10036-3906"
Chelsea Market,"75 9th Ave, New York City, NY 10011-7006"
Greenwich Village,"14th Street and West of Broadway, New York City, NY"
American Museum of Natural History,"79th Street Central Park West, New York City, NY 10024"
Madison Square Garden,"4 Penn Plaza, New York City, NY 10121-0078"
Broadway,"599 Broadway, New York City, NY 10012-3235"
Times Square,"Broadway, New York City, NY 10036"
St. Patrick's Cathedral,"50th Street & 5th Avenue Wheelchair accessibility located off the corner of 51st Street and 5th Avenue, New York City, NY 10022-6863"
Ellis Island,"New York Harbor, New York City, NY 10017"
The Oculus,"33-69 Vesey St World Trade Center, New York City, NY 10003"
"Intrepid Sea, Air & Space Museum","12th Avenue & 46th Street Pier 86, New York City, NY 10036"
New York Public Library,"476 5th Ave New York, NY 10018, New York City, NY 10018"
Staten Island Ferry,"4 South Street, New York City, NY 10004"
Bryant Park,"between 40th and 42nd Streets & Fifth and Sixth Ave, New York City, NY 10017"
Radio City Music Hall,"1260 6th Avenue Between 50th and 51st Streets, New York City, NY 10020"
Rockefeller Center,"45 Rockefeller Plaza Rockefeller Centre, New York City, NY 10111-0100"
The Met Cloisters,"99 Margaret Corbin Drive Fort Tryon Park, New York City, NY 10040"
Grand Central Terminal,"89 E 42nd Street, New York City, NY 10017-5503"
One World Observatory,"285 Fulton St One World Trade Center, New York City, NY 10007-0089"
Manhattan Skyline,"103 W 55th St, New York, NY 10019"
The High Line,"517 W 23rd St, New York, NY 10011"
Brooklyn Bridge,"37 South St, New York, NY 10038"
Statue of Liberty,"Liberty Island, New York City, NY 10004"
Top of the Rock,"30 Rockfeller Plaza Enter on West 50th Street, between 5th & 6th Avenues, New York City, NY 10111"
Empire State Building,"20 West 34th Street, New York City, NY 10118-0114"
The Metropolitan Museum of Art,"1000 5th Ave, New York City, NY 10028-0198"
Christmas Spectacular Starring the Radio City Rockettes,"1260 Avenue of the Americas Between 50th & 51st Streets, New York City, NY 10020-1701"
Central Park,"59th to 110th Street Manhattan Borough, from Central Park West to 5th Avenue, New York City, NY 10022"
Lincoln Center for the Performing Arts,"The David RubenStein Atrium Broadway & 64th Street - main entrance, New York City, NY 10023"
Kings County Distillery,"Paymaster Building, Brooklyn Naval Yard, New York City, NY"
Majestic Theatre,"247 W 44th St, New York City, NY 10036-3907"
SeaGlass Carousel at The Battery,"75 Battery Pl, New York City, NY 10280-1500"
Neue Galerie,"1048 5th Ave, New York City, NY 10028-0111"
Museum of Jewish Heritage,"36 Battery Pl Edmond J. Safra Plaza, New York City, NY 10280-1502"
Whitney Museum of American Art,"99 Gansevoort Street, New York City, NY 10014-1404"
Macy's Herald Square,"151 West 34th Street, New York City, NY 10001-2101"
Woolworth Building,"233 Broadway, New York City, NY 10003"
One World Trade Center,"285 Fulton St, New York City, NY 10007-0089"
Spyscape,"928 8th Ave Between 54th-55th Street, New York City, NY 10019-5152"
New-York Historical Society Museum & Library,"170 Central Park W At Richard Gilder Way, New York City, NY 10024-5152"
Apollo Theater,"253 W 125th St, New York City, NY 10027-4408"
World Trade Center Memorial Foundation,"180 Greenwich St, New York City, NY 10007-0089"
Roosevelt Island,"513 Main St, Roosevelt Island, NY 10044"
Ground Zero Museum Workshop,"420 W 14th St Floor 2, New York City, NY 10014-1064"
Flatiron Building,"175 5th Ave At 23rd St., New York City, NY 10010-7703"
West Village,"367 Bleecker St, New York, NY 10014"
Washington Square Park,"5 Ave, Waverly Pl., W. 4 St. and Macdougal St. Washington Square Park, New York City, NY 10011"
Rockefeller Center Christmas Tree,"45 Rockefeller Plz Rockfeller Center, New York City, NY 10111-0100"
